owner_kind,owner_key,amenity_name
property,prop-18393841,game_room
property,prop-18393841,gourmet_area
property,prop-18393841,gym
property,prop-18393841,party_hall
property,prop-18393841,playground
property,prop-18393841,pool
property,prop-18393841,security_24h
property,prop-18393841,spa
property,prop-18428438,bike_rack
property,prop-18428438,game_room
property,prop-18428438,gourmet_area
property,prop-18428438,gym
property,prop-18428438,party_hall
property,prop-18428438,playground
property,prop-18428438,pool
property,prop-18428438,security_24h
property,prop-18428438,sports_court
property,prop-18441311,bbq_area
property,prop-18441311,pool
property,prop-18457289,air_conditioning
property,prop-18457289,bbq_area
property,prop-18457289,laundry
property,prop-18457289,pool
property,prop-18457289,security_24h
property,prop-18462413,bbq_area
property,prop-18462413,bike_rack
property,prop-18462413,gourmet_area
property,prop-18462413,gym
property,prop-18462413,intercom
property,prop-18462413,party_hall
property,prop-18462413,playground
property,prop-18462413,pool
property,prop-18465921,pool
property,prop-18466160,bbq_area
property,prop-18466160,laundry
property,prop-18466160,pool
property,prop-18466160,security_24h
property,prop-18466805,air_conditioning
property,prop-18466805,bbq_area
property,prop-18466805,pool
property,prop-18466805,security_24h
property,prop-18525839,bbq_area
property,prop-18525839,pool
property,prop-18537398,bbq_area
property,prop-18537398,pool
property,prop-18539166,air_conditioning
property,prop-18539166,bbq_area
property,prop-18539166,pool
property,prop-18539166,security_24h
property,prop-18551840,bbq_area
property,prop-18551840,pool
property,prop-18560542,gourmet_area
property,prop-18560542,pool
property,prop-18560778,security_24h
property,prop-18565498,gym
property,prop-18565498,playground
property,prop-18565498,pool
property,prop-18565498,sauna
property,prop-18577789,party_hall
property,prop-18649148,bbq_area
property,prop-18649148,pool
property,prop-18675816,concierge
property,prop-18678755,bbq_area
property,prop-18678755,bike_rack
property,prop-18678755,game_room
property,prop-18678755,gourmet_area
property,prop-18678755,gym
property,prop-18678755,intercom
property,prop-18678755,party_hall
property,prop-18678755,playground
property,prop-18678755,pool
property,prop-18678755,security_24h
property,prop-18696505,bbq_area
property,prop-18696505,pool
property,prop-18703501,bbq_area
property,prop-18703501,laundry
property,prop-18703501,pool
property,prop-18703501,security_24h
property,prop-18707401,concierge
property,prop-18707401,coworking
property,prop-18707401,playground
property,prop-18756193,bbq_area
property,prop-18756193,pool
property,prop-18758276,air_conditioning
property,prop-18758276,bbq_area
property,prop-18758276,pool
property,prop-18758276,security_24h
property,prop-18779105,bbq_area
property,prop-18779105,pool
property,prop-18779105,security_24h
property,prop-18779139,air_conditioning
property,prop-18779139,bbq_area
property,prop-18779139,pool
property,prop-18779139,security_24h
property,prop-18794552,bbq_area
property,prop-18794552,pool
property,prop-18846253,air_conditioning
property,prop-18846253,bbq_area
property,prop-18846253,bike_rack
property,prop-18846253,concierge
property,prop-18846253,game_room
property,prop-18846253,gourmet_area
property,prop-18846253,gym
property,prop-18846253,intercom
property,prop-18846253,laundry
property,prop-18846253,party_hall
property,prop-18846253,playground
property,prop-18846253,pool
property,prop-18846253,security_24h
property,prop-18846253,spa
property,prop-18846253,sports_court
property,prop-18847110,bbq_area
property,prop-18847110,pool
property,prop-18847154,bbq_area
property,prop-18847154,pool
property,prop-18852130,air_conditioning
property,prop-18852130,laundry
property,prop-18852130,pool
property,prop-18852130,security_24h
property,prop-18852835,bbq_area
property,prop-18852835,laundry
property,prop-18852835,pool
property,prop-18852835,security_24h
property,prop-18852852,bbq_area
property,prop-18852852,pool
property,prop-18852852,security_24h
property,prop-18852909,bbq_area
property,prop-18852909,pool
property,prop-18852909,security_24h
property,prop-18852973,air_conditioning
