id,title,subtype,transaction,price_sale,price_rent,area_m2,bedrooms,bathrooms,parking_spots,iptu_year,condo_fee,pets_allowed,accepts_financing,year_built,floor,has_elevator,has_balcony,furnished,neighborhood,condominium,builder,built_year
prop-38814301,"Apartamento com 2 dormitórios à venda, 40 m² por R$ 214.000,00 - Ernesto Geisel - João Pessoa/PB",Apartment,sale,214000,,40.0,2,1,1,,,false,,,,false,true,false,Ernesto Geisel,,,
prop-44877841,"Apartamento com 2 quartos à venda no Jardim Oceania, João Pessoa",Apartment,sale,703792,,70.0,2,2,1,,,false,,,,true,true,false,Jardim Oceania,,,
prop-42489146,Apartamento à venda 125 metros 03 quartos R$: 1.180.000 Miramar- João Pessoa -PB,Apartment,sale,1180000,,125.0,3,4,2,,,false,,,,true,true,true,Miramar,,,
prop-18853855,"Apartamento com 1 quarto à venda na Avenida Cabo Branco, 2316, Cabo Branco, João Pessoa",Apartment,sale,649000,,53.0,1,1,1,,,false,,,,true,true,false,Cabo Branco,,,
prop-32115254,"Apartamento com 1 quarto à venda na Rua Edgar Sales de Miranda Henrique, Aeroclube, João Pessoa",Apartment,sale,256692,,20.0,1,1,1,,,false,,,,false,true,false,Aeroclube,,,
prop-42867603,"Apartamento com 1 quarto à venda no Aeroclube, João Pessoa",Apartment,sale,243000,,29.0,1,1,1,,,false,,,,true,false,false,Aeroclube,,,
prop-44060968,"Apartamento com 1 quarto à venda na Rua Ana Cristina Rolim Machado, S/N, Aeroclube, João Pessoa",Apartment,sale,250000,,22.0,1,1,1,,,false,,,,false,false,false,Aeroclube,,,
prop-40755812,"Apartamento com 1 dormitório à venda, 22 m² por R$ 280.000,00 - Aeroclube - João Pessoa/PB",Apartment,sale,280000,,22.0,1,1,1,,,false,,,,true,false,true,Aeroclube,,,
prop-43159590,"Apartamento para Venda em João Pessoa, Aeroclube, 1 dormitório, 1 suíte, 1 banheiro, 1 vaga",Apartment,sale,260000,,33.0,1,1,1,,,false,,,,false,false,false,Aeroclube,,,
prop-35341671,"Apartamento com 1 dormitório à venda, 35 m² por R$ 380.000,00 - Aeroclube - João Pessoa/PB",Apartment,sale,380000,,35.0,1,1,1,,,false,,,,false,true,false,Aeroclube,,,
prop-32502063,"Apartamento com 1 dormitório à venda, 39 m² por R$ 320.000 - Aeroclube - João Pessoa/PB",Apartment,sale,320000,,39.0,1,1,1,,,false,,,,true,false,false,Aeroclube,,,
prop-43831867,"Apartamento com 1 quarto à venda na Rua Maria José Noronha Teixeira, --, Aeroclube, João Pessoa",Apartment,sale,400000,,46.0,1,1,1,,,false,,,,false,false,false,Aeroclube,,,
prop-35375412,"Apartamento com 1 quarto à venda no Aeroclube, João Pessoa",Apartment,sale,380000,,47.0,1,1,1,,,true,,,,false,false,false,Aeroclube,,,
prop-42516803,"Apartamento com 1 quarto à venda no Aeroclube, João Pessoa",Apartment,sale,390000,,54.0,1,1,1,,,false,,,,false,false,false,Aeroclube,,,
