tsne_1,tsne_2,faixa_preco
7.2497215,-44.87608,Q4
-58.118805,-47.032963,Q4
4.2152987,-46.385212,Q4
-81.29299,-36.161755,Q4
-41.270664,-53.313313,Q4
61.017605,-43.99952,Q2
-58.81434,-80.1692,Q1 (mais barato)
-16.178757,-83.831825,Q1 (mais barato)
-41.604084,-56.05385,Q1 (mais barato)
65.8859,-66.21595,Q1 (mais barato)
61.97849,36.958984,Q1 (mais barato)
81.812584,-47.769157,Q1 (mais barato)
65.68791,-66.281555,Q1 (mais barato)
65.57488,2.1382575,Q1 (mais barato)
24.269953,68.401375,Q2
1.1019616,-26.075237,Q2
-11.680873,-62.942276,Q5 (mais caro)
20.122696,-35.13918,Q1 (mais barato)
66.78076,-65.12844,Q1 (mais barato)
-15.97443,-83.85407,Q1 (mais barato)
-41.645004,-56.953533,Q2
63.931404,-49.942043,Q1 (mais barato)
80.75921,-46.1346,Q1 (mais barato)
67.39594,-61.35916,Q1 (mais barato)
59.852295,-54.73534,Q2
46.845215,-41.046856,Q1 (mais barato)
13.72766,-23.474567,Q1 (mais barato)
28.729729,-3.1575391,Q2
-4.650077,-20.781933,Q2
36.44137,4.1001596,Q3
-14.682462,-51.744835,Q5 (mais caro)
-6.628782,-22.034185,Q1 (mais barato)
81.428406,-29.33454,Q1 (mais barato)
81.861046,-28.738031,Q1 (mais barato)
81.76621,-28.811758,Q2
66.121765,-40.02885,Q2
26.147678,-53.58444,Q2
5.8819685,-57.383167,Q2
14.224238,-3.3608968,Q2
26.250515,-52.253407,Q3
13.276326,-9.062115,Q2
13.277381,-9.062807,Q2
43.737682,-42.763844,Q1 (mais barato)
12.849454,-6.054807,Q2
-17.705244,-53.900078,Q2
14.616333,-8.618038,Q2
15.931412,-20.318674,Q2
15.431606,-20.473967,Q2
40.889633,50.474377,Q2
15.131616,-21.716043,Q2
16.309408,-22.101057,Q2
14.616295,-8.617974,Q2
6.5090384,-57.020664,Q2
13.26911,-9.069989,Q3
-16.164185,-52.688652,Q3
30.603745,-60.90527,Q2
15.148834,-22.164192,Q3
5.720497,-57.311195,Q3
71.91819,62.009464,Q2
6.4461527,-57.00893,Q3
13.263456,-9.074849,Q1 (mais barato)
42.233364,-58.93697,Q2
27.911404,-59.03127,Q2
85.13878,-4.876515,Q2
81.5623,-27.390215,Q1 (mais barato)
82.96523,-27.922077,Q2
29.451172,-51.46027,Q2
-6.6470037,-21.999584,Q2
12.831767,-6.042594,Q2
15.45826,-20.703058,Q3
27.983503,-58.51618,Q3
-9.409076,-45.842705,Q2
-9.409076,-45.842705,Q2
-13.528092,-21.1674,Q2
63.01501,40.844723,Q2
15.955858,-19.96811,Q2
19.340498,3.4297104,Q3
-8.175634,-30.312052,Q3
12.826704,-6.040895,Q2
62.39372,39.10878,Q2
-16.105852,-52.642128,Q2
-1.5151042,-39.617554,Q3
29.965025,22.760878,Q1 (mais barato)
-9.456817,-23.036295,Q1 (mais barato)
36.479576,4.089708,Q2
-9.4037285,-45.833866,Q2
-0.4124293,-0.8798977,Q2
15.86096,-20.22597,Q2
2.365611,-25.173372,Q2
56.893623,-52.477642,Q2
65.63177,-40.273354,Q3
67.76561,-61.11466,Q1 (mais barato)
64.24807,-47.56691,Q1 (mais barato)
31.46271,-45.6503,Q2
16.725176,-45.912964,Q2
62.22483,4.4886003,Q2
67.38924,-19.719984,Q3
17.74231,-21.48976,Q3
2.4449189,-28.52256,Q3
85.10563,-4.1315217,Q4
14.272167,57.132835,Q2
8.519574,-11.3355665,Q3
39.20482,-47.353992,Q3
14.517728,-22.856735,Q3
37.804447,-25.247734,Q4
13.241017,-9.090071,Q4
28.805418,-51.55176,Q4
61.782032,-45.167255,Q4
84.01537,-29.021328,Q2
83.23221,-28.435163,Q3
13.239163,-9.090759,Q4
-9.37405,-45.81243,Q5 (mais caro)
17.790401,-21.138578,Q3
42.811275,-60.48594,Q4
-5.90219,-34.264706,Q4
71.66284,6.2484355,Q1 (mais barato)
75.300156,2.2155025,Q2
84.77592,-2.4609807,Q3
78.13763,0.9097827,Q4
59.259323,18.747372,Q3
33.353363,20.405159,Q3
60.3815,17.555944,Q3
15.0511,28.297985,Q2
2.4108102,2.0554647,Q3
6.072862,-56.892902,Q4
29.607626,-51.517445,Q3
7.694838,-44.93486,Q5 (mais caro)
6.8518186,-57.102245,Q5 (mais caro)
27.419825,0.35434985,Q5 (mais caro)
31.93933,-15.555663,Q5 (mais caro)
-4.4776106,-49.87177,Q5 (mais caro)
17.797209,-21.137814,Q3
22.885088,-29.42168,Q4
2.4477403,-28.525251,Q3
13.231617,-9.066342,Q4
37.810535,5.129447,Q5 (mais caro)
-42.599293,-54.64117,Q5 (mais caro)
-6.2716517,-75.22488,Q5 (mais caro)
-42.60178,-54.639267,Q5 (mais caro)
1.0409234,-6.41318,Q5 (mais caro)
